,K-Value,cost_total,flowTime_avg,waiting_avg,time_workload_avg
0,1.0,6.91791834E8,1.7330203266666666E7,3.844308844E9,0.14481773956076216
1,2.0,6.91792018E8,8667988.533333333,1.895771311E9,0.22887423827596043
2,3.0,6.91792036E8,5785510.271111111,1.249056901E9,1.56843925904263
3,4.0,6.91792036E8,4365872.115555556,9.29638316E8,0.2798250259253222
4,5.0,6.91792036E8,3514195.7866666666,7.38241542E8,0.16922500573476576
5,6.0,6.91792036E8,3514080.76,7.38215661E8,0.16882461082260333
6,7.0,6.91792036E8,3513844.6622222224,7.37701739E8,0.16869282242077865
7,8.0,6.91792036E8,3513719.9955555554,7.37673689E8,0.16855563588433461
8,9.0,6.91792036E8,3513480.8977777776,7.37159092E8,0.16854306123276522
9,10.0,6.91792036E8,3513433.546666667,7.37148438E8,0.1683853524433208
10,11.0,6.91792036E8,3513358.6622222224,7.37131589E8,0.16831323289389458
11,12.0,6.91792036E8,3513238.76,7.37335011E8,0.16831343617543015
12,13.0,6.91792036E8,3513238.76,7.37335011E8,0.16822236124440054
13,14.0,6.91792036E8,3513238.76,7.37335011E8,0.1681442970178037
14,15.0,6.91792036E8,3513238.76,7.37335011E8,0.1681442970178037
15,16.0,6.91792036E8,3513238.76,7.37335011E8,0.1681442970178037
16,17.0,6.91792036E8,3513238.76,7.37335011E8,0.1681442970178037
17,18.0,6.91792036E8,3513238.76,7.37335011E8,0.1681442970178037
18,19.0,6.91792036E8,3513238.76,7.37335011E8,0.1681442970178037
19,20.0,6.91792036E8,3513238.76,7.37335011E8,0.1681442970178037
20,21.0,6.91792036E8,3513238.76,7.37335011E8,0.1681442970178037
