Log;Policy;Optimization;Cost;Cost;Dif;;Log;Policy;Optimization;Waiting;Waiting;Dif;;;
PurchasingExample;no policy;cost;1661054,286;1079539,43;53,90%;;PurchasingExample;no policy;cost;134722;450923,71;70,10%;;;
PurchasingExample;no policy;workload;1890725,714;1894543,43;0,20%;;PurchasingExample;no policy;workload;338927,5714;420812,86;19,50%;;;
PurchasingExample;no policy;flow_time;1876896;1302491,86;44,10%;;PurchasingExample;no policy;flow_time;260583,4286;61,57;423131,20%;;;
PurchasingExample;no policy;waiting_time;1810607,714;1304897;38,80%;;PurchasingExample;no policy;waiting_time;237554,2857;111,57;212819,50%;;;
PurchasingExample;no policy;multiobjective;1880560,143;1365049,86;37,80%;;PurchasingExample;no policy;multiobjective;260194,2857;27547,57;844,50%;;;
PurchasingExample;preference;cost;1651382,143;1268407,14;30,20%;;PurchasingExample;preference;cost;207763,7143;292681,14;29,00%;;;Hypatia
PurchasingExample;preference;workload;1892643,429;1883446;0,50%;;PurchasingExample;preference;workload;256227,2857;474667,29;46,00%;;;Resultados Jorge
PurchasingExample;preference;flow_time;1892643,429;1665084;13,70%;;PurchasingExample;preference;flow_time;268092,5714;97219,57;175,80%;;;
PurchasingExample;preference;waiting_time;1885022,286;1665084;13,20%;;PurchasingExample;preference;waiting_time;255643,5714;145281,57;76,00%;;;
PurchasingExample;preference;multiobjective;1893476,286;1790739,57;5,70%;;PurchasingExample;preference;multiobjective;334344,5714;243744,71;37,20%;;;
PurchasingExample;cooperation;cost;1893476,286;1538857,71;23,00%;;PurchasingExample;cooperation;cost;276378,7143;102511;169,60%;;;
PurchasingExample;cooperation;workload;1894607,286;1893476,29;0,10%;;PurchasingExample;cooperation;workload;263605,5714;474609,57;44,50%;;;
PurchasingExample;cooperation;flow_time;1883848;1358575,14;38,70%;;PurchasingExample;cooperation;flow_time;282127,7143;8360;3274,70%;;;
PurchasingExample;cooperation;waiting_time;1893476,286;1672638,29;13,20%;;PurchasingExample;cooperation;waiting_time;257098,4286;150145,14;71,20%;;;
PurchasingExample;cooperation;multiobjective;1885022,286;1876340,57;0,50%;;PurchasingExample;cooperation;multiobjective;281438,4286;416380;32,40%;;;
PurchasingExample;baseline;baseline;1884568;1884568;0,00%;;PurchasingExample;baseline;baseline;404473;404473;0,00%;;;
;;;;;;;;;;;;;;;
Log;Policy;Optimization;Flow time;Flow time;Dif;;Log;Policy;Optimization;Workload;Workload;Dif;;;
PurchasingExample;no policy;cost;252408,8571;545159,14;53,70%;;PurchasingExample;no policy;cost;4,70%;8,03%;40,90%;;;
PurchasingExample;no policy;workload;430574,4286;514534,14;16,30%;;PurchasingExample;no policy;workload;10,70%;678,74%;98,40%;;;
PurchasingExample;no policy;flow_time;352230,2857;117208,43;200,50%;;PurchasingExample;no policy;flow_time;8,60%;2,53%;239,10%;;;
PurchasingExample;no policy;waiting_time;337489,7143;117258,43;187,80%;;PurchasingExample;no policy;waiting_time;8,70%;1,70%;413,60%;;;
PurchasingExample;no policy;multiobjective;351841,1429;134888,71;160,80%;;PurchasingExample;no policy;multiobjective;9,20%;5,38%;71,90%;;;
PurchasingExample;preference;cost;301510,5714;386428;22,00%;;PurchasingExample;preference;cost;10,60%;9,34%;13,10%;;;
PurchasingExample;preference;workload;347874,1429;566314,29;38,60%;;PurchasingExample;preference;workload;10,90%;397,58%;97,30%;;;
PurchasingExample;preference;flow_time;359739,4286;207149,29;73,70%;;PurchasingExample;preference;flow_time;9,20%;5,47%;68,80%;;;
PurchasingExample;preference;waiting_time;347290,4286;256762,71;35,30%;;PurchasingExample;preference;waiting_time;9,40%;5,06%;85,00%;;;
PurchasingExample;preference;multiobjective;425991,4286;338503;25,80%;;PurchasingExample;preference;multiobjective;10,80%;10,46%;3,50%;;;
PurchasingExample;cooperation;cost;368025,5714;212955;72,80%;;PurchasingExample;cooperation;cost;8,40%;6,42%;30,20%;;;
PurchasingExample;cooperation;workload;355252,4286;566256,57;37,30%;;PurchasingExample;cooperation;workload;10,90%;447,29%;97,60%;;;
PurchasingExample;cooperation;flow_time;373774,5714;127075,43;194,10%;;PurchasingExample;cooperation;flow_time;9,60%;2,27%;321,10%;;;
PurchasingExample;cooperation;waiting_time;348745,2857;266786,29;30,70%;;PurchasingExample;cooperation;waiting_time;8,70%;4,73%;84,30%;;;
PurchasingExample;cooperation;multiobjective;373085,2857;509064,14;26,70%;;PurchasingExample;cooperation;multiobjective;9,00%;414,02%;97,80%;;;
PurchasingExample;baseline;baseline;496120;496120;0,00%;;PurchasingExample;baseline;baseline;-2023,50%;5,00%;40569,80%;;;
